,index,latitude,longitude,duration
0,2401.0,40.7398526,-73.9950216,37.0
1,2401.0,40.7416056,-73.9937434,81.0
2,2401.0,40.7464045,-74.0051253,269.0
3,2401.0,40.7470178,-74.0046633,40.0
4,2401.0,40.7469491,-74.004498,3.0
5,2402.0,40.7384903,-73.9918083,49.0
6,2402.0,40.7353038,-73.9941567,114.0
7,2402.0,40.7387685,-74.0024425,183.0
8,2402.0,40.7390305,-74.0025987,31.0
9,2403.0,40.7384903,-73.9918083,49.0
10,2403.0,40.7340256,-73.9950724,140.0
11,2403.0,40.7357242,-74.0068164,283.0
12,2403.0,40.7364446,-74.0065947,15.0
13,2403.0,40.7364904,-74.0061729,6.0
14,2404.0,40.734834,-73.9831142,259.0
15,2404.0,40.7297665,-73.9868067,161.0
16,2404.0,40.7287487,-73.9844522,53.0
17,2404.0,40.7293534,-73.9840123,45.0
18,2404.0,40.7294843,-73.9843083,26.0
19,2405.0,40.734834,-73.9831142,259.0
20,2405.0,40.7285778,-73.9876805,189.0
21,2405.0,40.7283659,-73.987179,28.0
22,2406.0,40.7338178,-73.9807615,319.0
23,2406.0,40.7325587,-73.9814387,88.0
24,2406.0,40.7322259,-73.9816723,54.0
25,2407.0,40.7338178,-73.9807615,319.0
26,2407.0,40.7328137,-73.979639,52.0
27,2407.0,40.7322113,-73.9785403,16.0
28,2407.0,40.7312869,-73.9778768,24.0
29,2407.0,40.7308188,-73.9782214,12.0
30,2407.0,40.7295312,-73.9779331,28.0
31,2407.0,40.7294374,-73.9776901,36.0
32,2408.0,40.7338178,-73.9807615,319.0
33,2408.0,40.7325587,-73.9814387,88.0
34,2408.0,40.7322259,-73.9816723,54.0
35,2409.0,40.7384903,-73.9918083,49.0
36,2409.0,40.7379049,-73.9922319,39.0
37,2409.0,40.7416646,-74.0011315,185.0
38,2409.0,40.7674117,-73.9823896,699.0
39,2409.0,40.7671293,-73.9817445,11.0
40,2409.0,40.7669632,-73.9817789,3.0
41,2410.0,40.7384903,-73.9918083,49.0
42,2410.0,40.7353038,-73.9941567,114.0
43,2410.0,40.7377616,-73.999986,118.0
44,2411.0,40.7384903,-73.9918083,49.0
45,2411.0,40.7314123,-73.9969848,214.0
46,2411.0,40.7322213,-73.9986277,25.0
47,2411.0,40.7310465,-73.9996201,26.0
48,2411.0,40.7302955,-73.9980832,30.0
49,2411.0,40.7227218,-74.0044507,236.0
50,2411.0,40.7190465,-73.9964841,228.0
51,2411.0,40.713256,-73.9982496,176.0
52,2411.0,40.7130354,-73.9984272,5.0
53,2412.0,40.7384903,-73.9918083,49.0
54,2412.0,40.7366894,-73.9931526,64.0
55,2412.0,40.7416239,-74.0048678,256.0
56,2412.0,40.74085,-74.0051793,48.0
57,2412.0,40.7394098,-74.0054268,50.0
58,2412.0,40.7393793,-74.0080892,33.0
59,2412.0,40.7393226,-74.0080904,1.0
60,2413.0,40.7338178,-73.9807615,319.0
61,2413.0,40.7325587,-73.9814387,88.0
62,2413.0,40.7322259,-73.9816723,54.0
63,2414.0,40.7398526,-73.9950216,37.0
64,2414.0,40.7491024,-73.9882558,273.0
65,2414.0,40.7489953,-73.9880316,4.0
66,2414.0,40.7485815,-73.9881397,8.0
67,2415.0,40.7384903,-73.9918083,49.0
68,2415.0,40.7353038,-73.9941567,114.0
69,2415.0,40.7365174,-73.9970268,42.0
70,2416.0,40.734834,-73.9831142,259.0
71,2416.0,40.7297665,-73.9868067,161.0
72,2416.0,40.7278523,-73.9822353,110.0
73,2416.0,40.7221719,-73.9863338,130.0
74,2416.0,40.7216688,-73.9846842,95.0
75,2416.0,40.720684,-73.9852489,21.0
76,2417.0,40.7384903,-73.9918083,49.0
77,2417.0,40.7328437,-73.9959437,162.0
78,2417.0,40.7341486,-73.9991785,47.0
79,2417.0,40.7329492,-74.0071228,219.0
80,2418.0,40.734834,-73.9831142,259.0
81,2418.0,40.7303966,-73.9863718,147.0
82,2418.0,40.7305253,-73.9866867,6.0
83,2419.0,40.734834,-73.9831142,259.0
84,2419.0,40.7303966,-73.9863718,147.0
85,2419.0,40.7305253,-73.9866867,6.0
86,2420.0,40.7384903,-73.9918083,49.0
87,2420.0,40.7379049,-73.9922319,39.0
88,2420.0,40.7416646,-74.0011315,185.0
89,2420.0,40.7434215,-73.9998422,66.0
90,2420.0,40.7434926,-74.0000109,51.0
91,2421.0,40.7384903,-73.9918083,49.0
92,2421.0,40.7366894,-73.9931526,64.0
93,2421.0,40.7393126,-73.9993493,147.0
94,2422.0,40.734834,-73.9831142,259.0
95,2422.0,40.727382,-73.9885461,216.0
96,2422.0,40.7245511,-73.9818436,144.0
97,2423.0,40.7384903,-73.9918083,49.0
98,2423.0,40.7314123,-73.9969848,214.0
99,2423.0,40.7322213,-73.9986277,25.0
100,2423.0,40.7310465,-73.9996201,26.0
101,2423.0,40.7302955,-73.9980832,30.0
102,2423.0,40.7248988,-74.0026214,139.0
103,2423.0,40.7222989,-73.9971015,133.0
104,2423.0,40.7245914,-73.9957161,83.0
105,2424.0,40.7384903,-73.9918083,49.0
106,2424.0,40.7379049,-73.9922319,39.0
107,2424.0,40.7416646,-74.0011315,185.0
108,2424.0,40.745952,-73.998009,145.0
109,2424.0,40.7448325,-73.9953307,46.0
110,2425.0,40.7398526,-73.9950216,37.0
111,2425.0,40.7416056,-73.9937434,81.0
112,2425.0,40.7464045,-74.0051253,269.0
113,2425.0,40.7470178,-74.0046633,40.0
114,2425.0,40.7469491,-74.004498,3.0
115,2426.0,40.7384903,-73.9918083,49.0
116,2426.0,40.7314123,-73.9969848,214.0
117,2426.0,40.7322213,-73.9986277,25.0
118,2426.0,40.7310465,-73.9996201,26.0
119,2426.0,40.7302955,-73.9980832,30.0
120,2426.0,40.7248988,-74.0026214,139.0
121,2426.0,40.7223304,-73.9971806,131.0
122,2426.0,40.7136622,-74.003571,289.0
123,2426.0,40.7121505,-74.0056153,73.0
124,2426.0,40.7117069,-74.0077762,35.0
125,2426.0,40.7120032,-74.0081046,7.0
126,2426.0,40.7129563,-74.0101665,69.0
127,2427.0,40.734834,-73.9831142,259.0
128,2427.0,40.7241246,-73.9909592,290.0
129,2427.0,40.7237229,-73.9910182,8.0
130,2427.0,40.7181661,-73.9938466,198.0
131,2427.0,40.7174309,-73.9914517,66.0
132,2427.0,40.7145826,-73.992925,74.0
133,2427.0,40.7143318,-73.9928463,4.0
134,2427.0,40.7124596,-73.9925852,50.0
135,2427.0,40.7124705,-73.9924169,23.0
136,2427.0,40.7117323,-73.9923144,10.0
137,2427.0,40.7117571,-73.9919339,31.0
138,2430.0,40.7601347,-73.9848652,8.0
139,2430.0,40.7559931,-73.9749759,265.0
140,2430.0,40.7553521,-73.975444,42.0
141,2430.0,40.7551343,-73.9749638,83.0
142,2431.0,40.7601347,-73.9848652,8.0
143,2431.0,40.7578115,-73.9793609,148.0
144,2431.0,40.7596942,-73.9780161,43.0
145,2431.0,40.7571719,-73.97206,163.0
146,2432.0,40.7601347,-73.9848652,8.0
147,2432.0,40.7559159,-73.974807,268.0
148,2432.0,40.7622465,-73.9701665,183.0
149,2432.0,40.7610113,-73.9671969,77.0
150,2433.0,40.7594242,-73.9851254,19.0
151,2433.0,40.760411,-73.9874575,40.0
152,2433.0,40.7674117,-73.9823896,211.0
153,2433.0,40.7671293,-73.9817445,11.0
154,2433.0,40.7669632,-73.9817789,3.0
155,2434.0,40.7601347,-73.9848652,8.0
156,2434.0,40.7572583,-73.97805,199.0
157,2435.0,40.7601347,-73.9848652,8.0
158,2435.0,40.7598383,-73.9841848,11.0
159,2435.0,40.756034,-73.9869451,110.0
160,2435.0,40.7558224,-73.9864397,36.0
161,2435.0,40.7391558,-73.9897616,424.0
162,2435.0,40.7327335,-73.9743738,326.0
163,2435.0,40.7328493,-73.9744046,20.0
164,2435.0,40.732748,-73.9740813,5.0
165,2435.0,40.7214767,-73.9742585,242.0
166,2435.0,40.7196105,-73.9745374,36.0
167,2435.0,40.7102125,-73.9865248,296.0
168,2435.0,40.7121922,-73.9868339,77.0
169,2435.0,40.7117571,-73.9919339,72.0
170,2436.0,40.7594242,-73.9851254,19.0
171,2436.0,40.7640121,-73.9960221,242.0
172,2436.0,40.763385,-73.996475,46.0
173,2436.0,40.7634623,-73.9966328,29.0
174,2437.0,40.7601347,-73.9848652,8.0
175,2437.0,40.7598383,-73.9841848,11.0
176,2437.0,40.756034,-73.9869451,110.0
177,2437.0,40.7558224,-73.9864397,36.0
178,2437.0,40.7391558,-73.9897616,424.0
179,2437.0,40.7359972,-73.9822652,162.0
180,2437.0,40.7261987,-73.9894438,269.0
181,2437.0,40.7263274,-73.9897455,41.0
182,2438.0,40.7594242,-73.9851254,19.0
183,2438.0,40.7616238,-73.9903386,113.0
184,2438.0,40.7591092,-73.9921629,78.0
185,2438.0,40.7601364,-73.9945867,32.0
186,2439.0,40.7601347,-73.9848652,8.0
187,2439.0,40.7559159,-73.974807,268.0
188,2439.0,40.7590031,-73.9725061,96.0
189,2439.0,40.7596667,-73.9740556,54.0
190,2440.0,40.7601347,-73.9848652,8.0
191,2440.0,40.7536329,-73.9694279,412.0
192,2440.0,40.7517421,-73.9707907,107.0
193,2440.0,40.752589,-73.9728011,23.0
194,2441.0,40.7601347,-73.9848652,8.0
195,2441.0,40.7546441,-73.9718458,355.0
196,2442.0,40.7601347,-73.9848652,8.0
197,2442.0,40.7559159,-73.974807,268.0
198,2442.0,40.7590031,-73.9725061,96.0
199,2442.0,40.7596667,-73.9740556,54.0
200,2443.0,40.7601347,-73.9848652,8.0
201,2443.0,40.7586456,-73.9813552,87.0
202,2443.0,40.7636463,-73.9776972,139.0
203,2443.0,40.7634502,-73.9771928,8.0
204,2444.0,40.7594242,-73.9851254,19.0
205,2444.0,40.7616238,-73.9903386,113.0
206,2444.0,40.7591092,-73.9921629,78.0
207,2444.0,40.762721,-74.0006688,232.0
208,2444.0,40.7608377,-74.0024927,44.0
209,2444.0,40.76073,-74.0025571,2.0
210,2444.0,40.7484741,-74.0080489,257.0
211,2444.0,40.7126742,-74.0145712,715.0
212,2444.0,40.711139,-74.0148242,30.0
213,2444.0,40.7115396,-74.0157253,14.0
214,2445.0,40.7601347,-73.9848652,8.0
215,2445.0,40.7598383,-73.9841848,11.0
216,2445.0,40.756034,-73.9869451,110.0
217,2445.0,40.7558224,-73.9864397,36.0
218,2445.0,40.7483075,-73.9882029,193.0
219,2445.0,40.7471648,-73.985504,47.0
220,2445.0,40.7477694,-73.985072,116.0
221,2445.0,40.7476908,-73.9848838,16.0
222,2446.0,40.7601347,-73.9848652,8.0
223,2446.0,40.7598383,-73.9841848,11.0
224,2446.0,40.757961,-73.9855313,66.0
225,2446.0,40.758453,-73.986713,18.0
226,2446.0,40.7578253,-73.9871766,14.0
227,2446.0,40.754915,-73.980207,175.0
228,2447.0,40.7601347,-73.9848652,8.0
229,2447.0,40.7527056,-73.9671922,474.0
230,2447.0,40.7755575,-73.9503358,727.0
231,2447.0,40.7756939,-73.9506572,64.0
232,2448.0,40.7601347,-73.9848652,8.0
233,2448.0,40.7598383,-73.9841848,11.0
234,2448.0,40.757961,-73.9855313,66.0
235,2448.0,40.758453,-73.986713,18.0
236,2448.0,40.7578253,-73.9871766,14.0
237,2448.0,40.754915,-73.980207,175.0
238,2449.0,40.7601347,-73.9848652,8.0
239,2449.0,40.7546441,-73.9718458,355.0
240,2450.0,40.7594242,-73.9851254,19.0
241,2450.0,40.7616238,-73.9903386,113.0
242,2450.0,40.7591092,-73.9921629,78.0
243,2450.0,40.762721,-74.0006688,232.0
244,2450.0,40.7608377,-74.0024927,44.0
245,2450.0,40.76073,-74.0025571,2.0
246,2450.0,40.7484741,-74.0080489,257.0
247,2450.0,40.7126742,-74.0145712,715.0
248,2450.0,40.711139,-74.0148242,30.0
249,2450.0,40.7115396,-74.0157253,14.0
250,2451.0,40.7601347,-73.9848652,8.0
251,2451.0,40.7598383,-73.9841848,11.0
252,2451.0,40.756034,-73.9869451,110.0
253,2451.0,40.7558224,-73.9864397,36.0
254,2451.0,40.7423132,-73.9890177,309.0
255,2451.0,40.7322455,-73.9963803,280.0
256,2451.0,40.7300201,-73.9910974,141.0
257,2451.0,40.7303214,-73.9908417,34.0
258,2452.0,40.7601347,-73.9848652,8.0
259,2452.0,40.7546441,-73.9718458,355.0
260,2453.0,40.7601347,-73.9848652,8.0
261,2453.0,40.7546441,-73.9718458,355.0
262,2454.0,40.7601347,-73.9848652,8.0
263,2454.0,40.7572583,-73.97805,199.0
264,2455.0,40.7594242,-73.9851254,19.0
265,2455.0,40.760411,-73.9874575,40.0
266,2455.0,40.7660501,-73.9833663,159.0
267,2455.0,40.7654858,-73.9820275,23.0
268,2455.0,40.7652938,-73.982078,3.0
269,2456.0,40.7601347,-73.9848652,8.0
270,2456.0,40.7598383,-73.9841848,11.0
271,2456.0,40.756034,-73.9869451,110.0
272,2456.0,40.7558224,-73.9864397,36.0
273,2456.0,40.7423871,-73.9890975,307.0
274,2457.0,40.7594242,-73.9851254,19.0
275,2457.0,40.7616238,-73.9903386,113.0
276,2457.0,40.7502703,-73.9986404,356.0
277,2457.0,40.7526569,-74.0042751,111.0
278,2457.0,40.7513833,-74.0051955,57.0
279,2458.0,40.7601347,-73.9848652,8.0
280,2458.0,40.7598383,-73.9841848,11.0
281,2458.0,40.7447655,-73.9951703,382.0
282,2458.0,40.7448325,-73.9953307,29.0
283,2459.0,40.7594242,-73.9851254,19.0
284,2459.0,40.7616238,-73.9903386,113.0
285,2459.0,40.7602309,-73.9913464,56.0
286,2460.0,40.7601347,-73.9848652,8.0
287,2460.0,40.7559931,-73.9749759,265.0
288,2460.0,40.7553521,-73.975444,42.0
289,2460.0,40.7551343,-73.9749638,83.0
290,2461.0,40.7601347,-73.9848652,8.0
291,2461.0,40.7545861,-73.9717144,357.0
292,2461.0,40.757715,-73.9694197,98.0
293,2461.0,40.7582531,-73.9707145,46.0
294,2462.0,40.7601347,-73.9848652,8.0
295,2462.0,40.7546441,-73.9718458,355.0
296,2463.0,40.7601347,-73.9848652,8.0
297,2463.0,40.7578115,-73.9793609,148.0
298,2463.0,40.7596942,-73.9780161,43.0
299,2463.0,40.7571719,-73.97206,163.0
300,2464.0,40.7601347,-73.9848652,8.0
301,2464.0,40.7527056,-73.9671922,474.0
302,2464.0,40.7755575,-73.9503358,727.0
303,2464.0,40.7746197,-73.9480881,39.0
304,2464.0,40.7752575,-73.9476255,10.0
305,2464.0,40.7754143,-73.948001,7.0
306,2465.0,40.7601347,-73.9848652,8.0
307,2465.0,40.7598383,-73.9841848,11.0
308,2465.0,40.756034,-73.9869451,110.0
309,2465.0,40.7558224,-73.9864397,36.0
310,2465.0,40.7491863,-73.9881872,149.0
311,2465.0,40.7489605,-73.9883649,67.0
312,2466.0,40.7594242,-73.9851254,19.0
313,2466.0,40.7627314,-73.9929884,170.0
314,2467.0,40.7601347,-73.9848652,8.0
315,2467.0,40.7598383,-73.9841848,11.0
316,2467.0,40.756034,-73.9869451,110.0
317,2467.0,40.7558224,-73.9864397,36.0
318,2467.0,40.7423132,-73.9890177,309.0
319,2467.0,40.7314123,-73.9969848,320.0
320,2467.0,40.7322213,-73.9986277,25.0
321,2467.0,40.7310465,-73.9996201,26.0
322,2467.0,40.7302955,-73.9980832,30.0
323,2467.0,40.7248988,-74.0026214,139.0
324,2467.0,40.7222989,-73.9971015,133.0
325,2467.0,40.7245914,-73.9957161,83.0
326,2468.0,40.7601347,-73.9848652,8.0
327,2468.0,40.7559931,-73.9749759,265.0
328,2468.0,40.7553521,-73.975444,42.0
329,2468.0,40.7551343,-73.9749638,83.0
330,2469.0,40.7601347,-73.9848652,8.0
331,2469.0,40.7536329,-73.9694279,412.0
332,2469.0,40.7517421,-73.9707907,107.0
333,2469.0,40.752589,-73.9728011,23.0
334,2470.0,40.7594242,-73.9851254,19.0
335,2470.0,40.760411,-73.9874575,40.0
336,2470.0,40.7660501,-73.9833663,159.0
337,2470.0,40.7654858,-73.9820275,23.0
338,2470.0,40.7652938,-73.982078,3.0
339,2471.0,40.7601347,-73.9848652,8.0
340,2471.0,40.7598383,-73.9841848,11.0
341,2471.0,40.7503293,-73.9911014,266.0
342,2471.0,40.7502422,-73.9908993,54.0
343,2472.0,40.7601347,-73.9848652,8.0
344,2472.0,40.7546441,-73.9718458,355.0
345,2473.0,40.7601347,-73.9848652,8.0
346,2473.0,40.7598383,-73.9841848,11.0
347,2473.0,40.756034,-73.9869451,110.0
348,2473.0,40.7558224,-73.9864397,36.0
349,2473.0,40.7423871,-73.9890975,307.0
350,2474.0,40.7601347,-73.9848652,8.0
351,2474.0,40.7598383,-73.9841848,11.0
352,2474.0,40.7447655,-73.9951703,382.0
353,2474.0,40.7448325,-73.9953307,29.0
354,2475.0,40.7601347,-73.9848652,8.0
355,2475.0,40.7586456,-73.9813552,87.0
356,2475.0,40.7656852,-73.9762334,201.0
357,2475.0,40.764591,-73.9736523,56.0
358,2475.0,40.764423,-73.9737796,4.0
359,2476.0,40.7601347,-73.9848652,8.0
360,2476.0,40.7545861,-73.9717144,357.0
361,2476.0,40.7589736,-73.9684971,126.0
362,2476.0,40.7590312,-73.9686277,23.0
363,2477.0,40.7601347,-73.9848652,8.0
364,2477.0,40.7598383,-73.9841848,11.0
365,2477.0,40.756034,-73.9869451,110.0
366,2477.0,40.7558224,-73.9864397,36.0
367,2477.0,40.7530131,-73.9873233,54.0
368,2478.0,40.7601347,-73.9848652,8.0
369,2478.0,40.7598383,-73.9841848,11.0
370,2478.0,40.756034,-73.9869451,110.0
371,2478.0,40.7558224,-73.9864397,36.0
372,2478.0,40.7491863,-73.9881872,149.0
373,2478.0,40.7489605,-73.9883649,67.0
374,2479.0,40.7594242,-73.9851254,19.0
375,2479.0,40.760411,-73.9874575,40.0
376,2479.0,40.7647976,-73.9842943,129.0
377,2479.0,40.7640527,-73.9825207,31.0
378,2479.0,40.7634871,-73.9828256,10.0
379,2480.0,40.7601347,-73.9848652,8.0
380,2480.0,40.7598383,-73.9841848,11.0
381,2480.0,40.756034,-73.9869451,110.0
382,2480.0,40.7558224,-73.9864397,36.0
383,2480.0,40.740324,-73.9894317,401.0
384,2481.0,40.7594242,-73.9851254,19.0
385,2481.0,40.7640121,-73.9960221,242.0
386,2481.0,40.763385,-73.996475,46.0
387,2481.0,40.7634623,-73.9966328,29.0
388,2482.0,40.7601347,-73.9848652,8.0
389,2482.0,40.7598383,-73.9841848,11.0
390,2482.0,40.752907,-73.9892533,194.0
391,2482.0,40.754091,-73.992079,39.0
392,2482.0,40.754707,-73.991633,39.0
393,2482.0,40.7546167,-73.991418,4.0
394,2483.0,40.7601347,-73.9848652,8.0
395,2483.0,40.7586456,-73.9813552,87.0
396,2483.0,40.7650083,-73.9767175,190.0
397,2483.0,40.7629739,-73.971886,99.0
398,2483.0,40.7667261,-73.9691475,158.0
399,2483.0,40.7659987,-73.9674155,30.0
400,2483.0,40.7678909,-73.9660729,123.0
401,2483.0,40.7678204,-73.9659066,29.0
402,2484.0,40.7601347,-73.9848652,8.0
403,2484.0,40.7527056,-73.9671922,474.0
404,2484.0,40.754499,-73.9656923,88.0
405,2484.0,40.7545896,-73.9659059,24.0
406,2485.0,40.7601347,-73.9848652,8.0
407,2485.0,40.7546441,-73.9718458,355.0
408,2486.0,40.7601347,-73.9848652,8.0
409,2486.0,40.7598383,-73.9841848,11.0
410,2486.0,40.756034,-73.9869451,110.0
411,2486.0,40.7558224,-73.9864397,36.0
412,2486.0,40.7462015,-73.9885639,235.0
413,2487.0,40.7601347,-73.9848652,8.0
414,2487.0,40.7546441,-73.9718458,355.0
415,2488.0,40.7608021,-73.9845206,11.0
416,2488.0,40.7622358,-73.9879099,96.0
